,carat,cut,color,clarity,depth,table,price,x,y,z
38848,0.4,Ideal,I,IF,62.2,56.0,1050,4.75,4.71,2.94
9023,1.04,Ideal,H,SI1,61.9,57.0,4515,6.49,6.46,4.01
51799,0.75,Premium,D,SI2,60.6,56.0,2415,5.94,5.9,3.59
35562,0.35,Premium,G,VS1,61.2,58.0,906,4.54,4.51,2.77
18923,1.49,Very Good,G,SI2,62.5,58.0,7773,7.2,7.26,4.52
53847,0.71,Ideal,H,VVS1,60.8,56.0,2741,5.75,5.83,3.52
848,0.72,Ideal,H,VVS2,60.9,57.0,2869,5.79,5.77,3.52
9756,0.9,Premium,G,VS1,62.7,58.0,4661,6.06,6.15,3.83
15655,1.04,Premium,F,VS2,59.6,62.0,6278,6.62,6.56,3.93
3696,0.72,Very Good,G,VVS2,60.1,60.0,3449,5.79,5.82,3.49
48649,0.34,Good,H,VS2,63.7,57.0,537,4.42,4.44,2.82
33826,0.42,Very Good,H,VS2,59.0,57.0,843,4.92,4.95,2.91
44889,0.5,Premium,E,VS2,61.4,58.0,1629,5.1,5.07,3.12
50420,0.55,Ideal,F,VVS2,60.7,56.0,2259,5.31,5.34,3.23
22474,1.01,Very Good,D,VVS2,59.8,57.0,10499,6.49,6.58,3.91
31427,0.3,Ideal,H,IF,62.2,54.0,764,4.34,4.37,2.71
46619,0.51,Ideal,D,VS2,62.3,57.0,1787,5.09,5.12,3.18
789,0.82,Premium,E,SI2,61.7,59.0,2861,6.01,5.98,3.7
16977,1.07,Very Good,G,VS1,61.2,55.0,6780,6.63,6.67,4.07
46313,0.3,Ideal,G,VS2,62.3,56.0,526,4.27,4.3,2.67
39589,0.54,Very Good,G,SI2,59.5,60.0,1083,5.27,5.31,3.15
11014,1.01,Very Good,G,SI1,60.6,57.0,4916,6.49,6.52,3.94
53432,0.74,Premium,F,SI1,61.4,59.0,2671,5.82,5.81,3.57
50165,0.7,Good,G,SI1,63.9,58.0,2218,5.57,5.51,3.54
4781,0.74,Ideal,F,VS1,62.0,54.0,3694,5.85,5.81,3.62
47384,0.54,Ideal,E,VS2,60.5,56.0,1847,5.28,5.26,3.19
49521,0.72,Very Good,J,SI1,57.6,63.0,2123,5.89,5.95,3.41
22031,0.34,Very Good,H,SI1,63.3,56.0,628,4.46,4.45,2.82
27548,2.02,Premium,F,SI2,61.7,58.0,18320,8.11,8.15,5.02
